date,location,change
2020-07-13,Dublin 8,15.0
2020-07-13,West Cork,-10.14
2020-07-13,Kildare,3.57
2020-07-13,Co Kerry,1.59
2020-07-13,Dublin,-4.14
2020-07-13,Wexford,-12.0
2020-07-13,R93 AY22,-10.0
2020-07-13,W91 K8P3,-2.03
2020-07-13,Kildare,-13.33
2020-07-13,Louth,-10.34
2020-07-13,H91 YPP2,-5.52
2020-07-13,Carlow,-5.26
2020-07-13,X91 A8DW,-6.06
2020-07-13,Co Cork,-7.14
2020-07-13,Dublin 7,-3.08
2020-07-13,Roscommon,-6.4
2020-07-13,Carlow,-58.33
2020-07-13,Cork,-7.53
2020-07-13,Limerick,-7.29
2020-07-13,Cork,-1.47
2020-07-13,Mayo,-26.0
2020-07-13,Mayo,35.14
2020-07-13,Co. Waterford,-5.26
2020-07-13,E45 HV59,6.45
2020-07-13,Mayo,-25.0
2020-07-13,Wicklow,-7.14
2020-07-13,Dublin 18,-3.08
2020-07-13,Mayo,-7.72
2020-07-13,Galway City,-7.04
2020-07-13,Longford,-5.9
2020-07-13,Sligo,-8.42
2020-07-12,Monaghan,6.76
2020-07-11,W23 W2K0,-2.06
2020-07-11,Offaly,-2.94
2020-07-10,E41 FY67,-6.98
2020-07-10,Co. Limerick,-10.0
2020-07-10,Carlow,21.16
2020-07-10,Co. Waterford,-24.0
2020-07-10,X91 DAE0,-7.81
2020-07-10,Co. Carlow,-12.31
2020-07-10,Dublin 18,-2.35
2020-07-10,Y25W2F3,-5.45
2020-07-10,A85 H248,3.06
2020-07-10,Co Leitrim N41 VP98,12.12
2020-07-10,Co. Dublin,-6.03
2020-07-10,Dublin 11,7.81
2020-07-10,Dublin 11,-7.81
2020-07-10,Galway,-7.27
2020-07-10,Clare,14.12
2020-07-10,Wicklow,-8.33
2020-07-10,Wexford,-4.04
2020-07-10,Meath,-2.94
2020-07-10,Westmeath,-2.94
2020-07-10,Dublin 12,-10.61
2020-07-10,Dublin 12,-3.99
2020-07-10,F26 W2A4,-6.78
2020-07-10,Dublin 3,-3.51
2020-07-10,Kildare,-3.51
2020-07-10,Dublin 7,-6.93
2020-07-10,Meath,-3.55
2020-07-10,Dublin,-12.31
2020-07-10,Waterford,-6.29
2020-07-10,Wexford,-1.67
2020-07-10,West Cork,-9.55
2020-07-10,Westmeath,-4.35
2020-07-10,Wicklow,-25.42
2020-07-10,Clare,-6.05
2020-07-09,Co. Waterford,13.21
2020-07-09,West Cork,-9.45
2020-07-09,Co. Limerick,-12.38
2020-07-09,Galway,-11.01
2020-07-09,Waterford,-17.14
2020-07-09,X91 A8DW,3.13
2020-07-09,Dublin 8,-4.35
2020-07-09,Co. Wicklow,-4.62
2020-07-09,Wexford,-6.78
2020-07-09,H54 KV21,-7.69
2020-07-09,Cork,-7.81
2020-07-09,Co. Dublin,-5.24
2020-07-09,Waterford,-6.35
2020-07-09,Waterford,-6.35
2020-07-09,Dublin 8,-16.42
2020-07-09,Dublin 8,-16.42
2020-07-09,Co. Dublin,-3.33
2020-07-09,Dublin 3,-11.11
2020-07-09,Co.Galway,-6.78
2020-07-09,Limerick,34.62
2020-07-09,Mayo,-20.0
2020-07-09,County Dublin,-6.25
2020-07-09,Dublin 5,-3.33
2020-07-09,Dublin 7,-5.27
2020-07-09,Co. Galway,17.65
2020-07-09,Co. Limerick,-11.11
2020-07-09,Dublin 14,-8.33
2020-07-09,Limerick,-3.86
2020-07-09,Limerick,-7.5
2020-07-09,Limerick,-14.29
2020-07-09,Westmeath,-2.48
2020-07-09,Kerry,2.04
2020-07-08,Co. Cork,-13.21
2020-07-08,Dublin 7,-2.99
2020-07-08,Co. Dublin,-9.17
2020-07-08,Co Leitrim N41 DF22,-33.56
2020-07-08,D18 RD21,-4.35
2020-07-08,Dublin 7,-5.06
2020-07-08,Kildare,-4.88
2020-07-08,Galway,-5.13
2020-07-08,Dublin,-5.5
2020-07-08,Dublin 3,-4.17
2020-07-08,Dublin 12,-5.56
2020-07-08,Dublin 12,-6.68
2020-07-08,Wexford,-14.29
2020-07-08,Monaghan,-10.71
2020-07-08,Mayo,-17.08
2020-07-08,Cork,-2.93
2020-07-08,Co Cavan A82 HK71,-16.67
2020-07-08,Co. Meath,-2.5
2020-07-08,Dublin,-6.05
2020-07-08,Y25VH57,-5.0
2020-07-08,D18 A3A4,-3.52
2020-07-08,W91 XP9E,-13.33
2020-07-08,Dublin 18,-1.59
2020-07-08,Y35 VE44,-8.31
2020-07-08,Louth,-9.26
2020-07-08,Cork,-10.18
2020-07-08,Limerick,-6.28
2020-07-08,Limerick,-1.59
2020-07-08,Kilkenny,-3.85
2020-07-08,Cork,7.14
2020-07-08,Dublin 14,-9.55
2020-07-07,Dublin 18,-8.35
2020-07-07,Co. Dublin K32 DP62,-4.08
2020-07-07,Dublin,4.94
2020-07-07,V15 R273,11.11
2020-07-07,F26 C3H9,-13.64
2020-07-07,Co. Wicklow,-2.64
2020-07-07,Co Leitrim N41 D580,-15.63
2020-07-07,Cork,-4.81
2020-07-07,County Meath,-11.16
2020-07-07,Wicklow,-2.82
2020-07-07,Dublin,-9.09
2020-07-07,W91C2R2,0.43
2020-07-07,Dublin 8,18.33
2020-07-07,Dublin 12,-5.88
2020-07-07,Wexford,-4.49
2020-07-07,Limerick,-4.6
2020-07-07,N91R201,-5.24
2020-07-07,Dublin 11,1.4
2020-07-07,Wicklow,-2.79
2020-07-07,Mayo,-36.11
2020-07-07,Tipperary,-5.36
2020-07-07,Wicklow,21.82
2020-07-07,Dublin,-5.03
2020-07-07,Dublin 18,-1.72
2020-07-06,E41 X8C4,-8.46
2020-07-06,Dublin 12,-6.67
2020-07-06,Co. Louth,-2.92
2020-07-06,Dublin 12,-8.32
2020-07-06,Dublin 15,-3.11
2020-07-06,Dublin,-2.0
2020-07-06,Y21ED39,4.76
2020-07-06,Co.Galway,5.41
2020-07-06,Tipperary,-3.57
2020-07-06,Meath,-30.0
2020-07-06,Dublin 24,-2.72
2020-07-06,Kilkenny,15.38
2020-07-06,Kilkenny,-13.33
2020-07-06,Dublin 1,-5.88
2020-07-06,Monaghan,-33.33
2020-07-06,Co. Louth,2.94
2020-07-06,Dublin,2.91
2020-07-06,Dublin 4,13.33
2020-07-06,Dublin 9,-4.4
2020-07-06,Dublin,-7.06
2020-07-06,Galway,8.04
2020-07-06,Mayo,-10.0
2020-07-06,Mayo,-10.0
2020-07-06,Wexford,-5.88
2020-07-06,Waterford,-3.13
2020-07-06,Dublin 12,0.86
2020-07-06,R42 X017,-14.14
2020-07-06,Wicklow,-2.25
2020-07-05,Mayo,-7.02
2020-07-05,Cavan,-2.18
2020-07-05,Wexford,1.89
2020-07-04,Louth,-4.69
2020-07-03,Mayo,-13.09
2020-07-03,N37 YE94,3.17
2020-07-03,Wexford,-7.81
2020-07-03,Cashel,-4.35
2020-07-03,Tipperary,-2.27
2020-07-03,Dublin 7,-1.69
2020-07-03,Dublin 5,-5.56
2020-07-03,H18XN67,4.08
2020-07-03,Cork,-2.78
2020-07-03,Offaly,-4.55
2020-07-03,County Louth,-24.14
2020-07-03,Sligo,5.19
2020-07-03,Waterford,-9.73
2020-07-03,E45 Y576,-16.84
2020-07-03,Co. Dublin K32 RD25,-9.09
2020-07-03,Dualla,-4.35
2020-07-03,Co. Cavan,-16.67
2020-07-03,Co Cavan,-16.67
2020-07-03,P61 FC93,-5.13
2020-07-03,Dublin,-2.0
2020-07-03,Co. Limerick,2.94
2020-07-03,Donegal,-9.23
2020-07-03,Wexford,-5.73
2020-07-03,County Dublin,-6.03
2020-07-03,West Cork,-18.52
2020-07-03,Wicklow,0.71
2020-07-03,Cork,-5.61
2020-07-02,Cork,-2.86
2020-07-02,Co Cavan A82 AT22,-6.67
2020-07-02,Cavan,-33.33
2020-07-02,Waterford,16.0
2020-07-02,Cork,-25.0
2020-07-02,Dublin,-4.82
2020-07-02,N91XW02,-7.14
2020-07-02,Dublin 24,-5.88
2020-07-02,Wexford,-11.54
2020-07-02,Dublin 11,-5.42
2020-07-02,P51XE3C,-5.88
2020-07-02,West Cork,-6.25
2020-07-02,Kildare,-29.73
2020-07-02,Limerick,12.12
2020-07-02,13 Mount Prospect,-2.08
2020-07-01,Galway,-9.86
2020-07-01,P51F6V6,-11.02
2020-07-01,Dublin 5,-3.53
2020-07-01,Dublin 6W,-4.99
2020-07-01,Co. Kildare,11.86
2020-07-01,Tipperary,-7.14
2020-07-01,Donegal,-3.51
2020-07-01,Laois,-3.47
2020-07-01,N37E8Y8,-13.91
2020-07-01,A83 PC79,-6.57
2020-07-01,Dublin 15,-3.9
2020-07-01,Donegal,-9.12
2020-07-01,Waterford,-8.0
2020-07-01,Waterford,-7.41
2020-07-01,County Dublin,-2.7
2020-07-01,Meath,3.64
2020-07-01,Wexford,-3.08
2020-07-01,Dublin 24,-3.55
2020-07-01,Kildare,-2.86
2020-07-01,Waterford,-4.44
2020-07-01,Limerick,-3.61
2020-07-01,Co. Kildare,1.54
2020-07-01,Wicklow,4.35
2020-07-01,Leitrim,-9.98
2020-07-01,Wexford,-18.18
2020-07-01,Offaly,-8.0
2020-07-01,Wexford,-18.18
2020-07-01,Kildare,-6.45
2020-07-01,Kerry,-11.47
2020-07-01,Wexford,-7.14
2020-07-01,Mayo,-5.75
2020-06-30,Dublin 18,-6.6
2020-06-30,Y34F244,-8.03
2020-06-30,Co Offaly,-14.29
2020-06-30,Dublin 15,-3.28
2020-06-30,H12 E6X3,-30.0
2020-06-30,A83 X458,-3.24
2020-06-30,E53 YF22,-1.9
2020-06-30,Louth,-4.55
2020-06-30,Co Cork,-6.67
2020-06-30,Co Cork,6.92
2020-06-30,Wicklow,-1.35
2020-06-30,E41 D8F8,-6.67
2020-06-30,Cork City,3.85
2020-06-30,Dublin 11,-8.57
2020-06-30,Dublin 24,-6.6
2020-06-30,Wexford,50.0
2020-06-30,Dublin 15,-4.77
2020-06-30,Dublin 1,-4.91
2020-06-30,Mayo,-7.55
2020-06-30,Kerry,7.14
2020-06-30,Galway,-20.0
2020-06-30,Cork,-13.33
2020-06-30,Cork,-4.55
2020-06-30,Dublin 18,-4.14
2020-06-30,Kilkenny,-4.0
2020-06-30,Dublin 15,-2.22
2020-06-30,Mayo,-16.0
2020-06-30,Wicklow,-2.27
2020-06-30,Meath,5.26
2020-06-30,Wicklow,-10.17
2020-06-30,Donegal,-35.71
2020-06-30,West Cork,-14.29
2020-06-29,Drummullagh,-6.9
2020-06-29,Ardfinnan E91 DY27,3.13
2020-06-29,Dublin 18,-6.67
2020-06-29,Louth,-18.52
2020-06-29,Laois,-18.18
2020-06-29,Wexford,10.26
2020-06-29,Wexford,-4.02
2020-06-29,Galway,-33.33
2020-06-29,Limerick,-4.0
2020-06-29,Kerry,46.3
2020-06-29,Galway,7.14
2020-06-29,County Dublin,3.03
2020-06-29,Wicklow,-5.71
2020-06-29,Donegal,-6.47
2020-06-29,Mayo,-2.5
2020-06-29,Mayo,2.56
2020-06-29,County Dublin,-2.94
2020-06-29,County Dublin,3.03
2020-06-29,H53 RT22,-4.17
2020-06-29,Tipperary,-11.11
2020-06-29,Waterford,-3.88
2020-06-29,Meath,-2.01
2020-06-29,Cavan,-3.81
2020-06-29,Cork,-5.06
2020-06-29,Wicklow,-5.03
2020-06-29,Westmeath,-2.27
2020-06-29,Wicklow,-5.19
2020-06-29,Cork,11.36
2020-06-29,Dublin 11,5.73
2020-06-29,County Dublin,2.99
2020-06-27,Mayo,-9.13
2020-06-27,Dublin  1,-3.92
2020-06-26,Dublin 8,1.25
2020-06-26,W91X6E4,-11.11
2020-06-26,West Cork,-9.09
2020-06-26,150 Dalton Park,3.67
2020-06-26,Limerick City,-1.0
2020-06-26,H71WY66,7.27
2020-06-26,Dublin 9,-10.0
2020-06-26,Limerick,-5.71
2020-06-26,Co. Kildare,8.0
2020-06-26,Cork City,-3.03
2020-06-26,Wexford,-5.25
2020-06-26,Dublin 24,-10.0
2020-06-26,Cork City,-2.94
2020-06-26,N37 T3P2,-5.45
2020-06-26,Co. Donegal,20.0
2020-06-26,Wexford,-3.03
2020-06-26,Wexford,-2.86
2020-06-26,Waterford,1.36
2020-06-26,V95 V4X8,4.0
2020-06-26,Meath,7.69
2020-06-26,Sligo,-4.68
2020-06-26,Dublin 20,-3.81
2020-06-26,Tipperary,-21.43
2020-06-26,Tipperary,-8.33
2020-06-26,Kerry,7.81
2020-06-26,Wicklow,-1.85
2020-06-26,Leitrim,-16.19
2020-06-26,Leitrim,-11.0
2020-06-26,County Kildare,-13.48
2020-06-25,Leitrim,6.67
2020-06-25,Dublin,-1.6
2020-06-25,Leitrim,15.38
2020-06-25,Dublin 3,-7.41
2020-06-25,Dublin 3,-4.55
2020-06-25,Tipperary,2.22
2020-06-25,Dublin 1,-6.67
2020-06-25,Greenore,-23.08
2020-06-25,Laois,-2.7
2020-06-25,Co. Wexford,-8.75
2020-06-25,Dublin 17,-1.38
2020-06-25,Laois,-20.17
2020-06-25,Louth,1.92
2020-06-25,Dublin,2.32
2020-06-25,Laois,-6.32
2020-06-25,Cork,-10.14
2020-06-25,Dublin 18,-4.92
2020-06-25,Kerry,62.5
2020-06-25,Cork,-4.65
2020-06-24,Wicklow,-4.04
2020-06-24,Dublin 12,-14.29
2020-06-24,N91EN23,-7.14
2020-06-24,Bagenalstown,-5.36
2020-06-24,Cork,-3.54
2020-06-24,R14 XD72,-8.33
2020-06-24,Dublin 11,-5.66
2020-06-24,R93 T2C2,-13.79
2020-06-24,Co. Dublin K32 AE70,-2.87
2020-06-24,Wicklow,3.45
2020-06-24,Dublin 6,0.96
2020-06-24,Kildare,-9.82
2020-06-24,Dublin 13,15.22
2020-06-24,Smithfield.Dublin 7.,-3.51
2020-06-24,P51 XH97,-12.0
2020-06-24,Kildare,-2.27
2020-06-24,Dublin 14,-5.71
2020-06-24,Dublin 14,6.06
2020-06-24,Galway,-7.44
2020-06-24,Galway,-6.35
2020-06-24,Wexford,-6.56
2020-06-24,Donegal,-11.54
2020-06-24,Dublin,1.63
2020-06-23,Laois,-6.67
2020-06-23,Co Offaly,4.02
2020-06-23,Dublin 24,-6.52
2020-06-23,Co. Kildare,-5.68
2020-06-23,P51EE9F,-18.52
2020-06-23,Dublin,-1.67
2020-06-23,Dublin 4,2.46
2020-06-23,Leitrim,18.18
2020-06-23,Co. Waterford,-5.15
2020-06-23,Wicklow,-5.19
